YPL256C	CLN2	CycLiN
YPR003C	YPR003C	unknown
YPR018W	RLF2	Rap1 protein Localization Factor
YPR019W	MCM4	MiniChromosome Maintenance
YPR043W	RPL43A	Ribosomal Protein of the Large subunit
YPR102C	RPL11A	Ribosomal Protein of the Large subunit
YPR120C	CLB5	CycLin B
YPR135W	CTF4	Chromosome Transmission Fidelity
YPR141C	KAR3	KARyogamy
YPR167C	MET16	METhionine requiring
YPR175W	DPB2	DNA Polymerase B subunit 2
